Station,Date,Calday,Year,Month,Season,Latitude,Longitude,Zone,Frame,Vis,FOV.Bias,Habitat,Depth,Time.In,Time.Out,Total.bott,Time.secs.,Algae,Pebble,Gravel,Sand,Mud,Seagrass,mean_velocity,dist,site_heterogeneity
SA.C1.040613.1b,04/06/2013,155,2013,June,Early,55.5397,-5.0882,1,1,2,2,Gravel,7.5,09:30,11:00,01:30:00,5400,0,0.05,0.33,0,0,0,0.088632338,361.7064106,2
SA.C1.070613.1,07/06/2013,158,2013,June,Early,55.5327667,-5.113933,1,1,2,2,Gravel,27,13:30,08:55,00:53:00,3180,0,0.08,0.15,0,0,0,0.039620362,572.4305145,2
SA.C1.130813.F1.5,13/08/2013,225,2013,August,Late,55.5367667,-5.089767,1,1,2,2,Sand,18.6,10:48,11:48,01:00:00,3600,0.11,0.07,0.17,0.43,0,0,0.087764733,92.78730929,4
SA.C1.130813.F1.7,13/08/2013,225,2013,August,Late,55.5430833,-5.09775,1,1,2,3,Algae,8.7,12:01,13:03,01:02:00,3720,0.62,0.19,0,0,0,0,0.074612789,175.4885217,2
SA.C1.130813.F3.2,13/08/2013,225,2013,August,Late,55.5443,-5.084167,1,3,2,2,Gravel,12.5,08:28,09:33,01:05:00,3900,0.14,0.13,0.31,0.13,0,0,0.102216527,588.1142444,4
SA.C1.180713.F1.6,18/07/2013,199,2013,July,Early,55.5062833,-5.064833,2,1,2,2,Gravel,11.2,13:09,14:10,01:01:00,3660,0.16,0,0.55,0,0,0,0.10807237,538.5751156,2
SA.C1.180713.F1.8,18/07/2013,199,2013,July,Early,55.5337333,-5.094217,1,1,2,3,Sand,15.5,14:29,15:30,01:01:00,3660,0.05,0,0,0.77,0,0,0.062323559,318.8597493,2
SA.C1.180713.F3.7,18/07/2013,199,2013,July,Early,55.5418,-5.086817,1,3,3,2,Gravel,13.6,13:03,14:38,01:35:00,5700,0.26,0.06,0.46,0,0,0,0.088632338,551.1144241,3
SA.C2.040613.2,04/06/2013,155,2013,June,Early,55.4763,-5.083767,2,1,2,2,Sand,8.3,10:30,15:05,01:27:00,5220,0.12,0,0,0.2,0,0,0.062845051,130.6815239,2
SA.C2.130813.F3.8,13/08/2013,225,2013,August,Late,55.5001,-5.085517,2,3,3,3,Sand,5.5,12:35,13:38,01:03:00,3780,0,0,0.35,0.53,0,0,0.069139525,130.1368294,2
SA.C2.150713.F1.1,15/07/2013,196,2013,July,Early,55.4665,-5.08005,2,1,2,1,Algae,10.3,09:56,10:57,01:01:00,3660,0.46,0,0,0,0,0,0.098826639,14.35279941,1
SA.C2.150713.F1.6,15/07/2013,196,2013,July,Early,55.4721,-5.081617,2,1,3,1,Seagrass,6,14:25,15:27,01:02:00,3720,0,0,0,0.14,0,0.27,0.058231048,186.9711647,2
SA.C2.160713.F1.6,16/07/2013,197,2013,July,Early,55.4900167,-5.090633,2,1,3,2,Seagrass,5,14:38,15:39,01:01:00,3660,0.04,0,0,0.18,0,0.48,0.063252918,153.1466325,3
SA.C2.260813.F3.8,26/08/2013,238,2013,August,Late,55.4700833,-5.080017,2,3,3,3,Seagrass,5.6,13:32,14:37,01:05:00,3900,0,0,0,0.18,0,0.76,0.105447002,179.2164016,2
SA.C3.150713.F1.4,15/07/2013,196,2013,July,Early,55.4200333,-5.118733,3,1,2,2,Algae,17.2,12:42,13:42,01:00:00,3600,0.24,0.19,0.2,0,0,0,0.372430235,413.9154084,3
SA.C3.160713.F1.5,16/07/2013,197,2013,July,Early,55.41405,-5.133717,3,1,2,2,Algae,14.7,13:05,14:08,01:03:00,3780,0.55,0,0.16,0,0,0,0.324568599,1374.864307,2
SA.C3.310713.F2.3,31/07/2013,212,2013,July,Early,55.4140167,-5.131367,3,2,1,2,Algae,13,09:38,11:38,02:00:00,7200,0.76,0,0,0,0,0,0.324568599,1291.202187,1
SA.C3.5.310713.F2.1,31/07/2013,212,2013,July,Early,55.4350667,-5.130917,3,2,1,2,Algae,14.9,08:02,09:02,01:00:00,3600,0.62,0.08,0.05,0.12,0,0,0.150321156,812.8315673,4
SA.C4.180713.F1.5,18/07/2013,199,2013,July,Early,55.4538333,-5.08085,3,1,2,2,Gravel,13.3,11:47,12:49,01:02:00,3720,0.2,0.09,0.63,0,0,0,0.136970058,162.5478912,3
SA.C4.180713.F3.4,18/07/2013,199,2013,July,Early,55.4378,-5.101117,3,3,3,3,Gravel,11.7,11:03,12:31,01:28:00,5280,0.19,0,0.76,0,0,0,0.180886671,392.7352921,2
SA.C4.260813.F1.7,26/08/2013,238,2013,August,Late,55.4483333,-5.0888,3,1,2,2,Algae,11.8,13:23,14:24,01:01:00,3660,0.69,0,0,0,0,0,0.12821573,282.7143781,1
SA.C4.310713.F3.2,31/07/2013,212,2013,July,Early,55.4343833,-5.106167,3,3,1,1,Algae,12,08:04,09:04,01:00:00,3600,0.57,0,0,0,0,0,0.228449851,659.1787748,1
SA.C5.050613.3,05/06/2013,156,2013,June,Early,55.4280167,-5.223817,4,1,2,2,Algae,17,11:30,14:53,00:52:00,3120,0.48,0,0,0,0,0,0.11363104,904.0017994,1
SA.C5.050613.4,05/06/2013,156,2013,June,Early,55.4253,-5.221967,4,1,2,2,Gravel,27,12:30,16:29,01:30:00,5400,0.08,0,0.19,0,0,0,0.128838167,1150.668372,2
SA.C5.120813.F1.1,12/08/2013,224,2013,August,Late,55.4331333,-5.252033,4,1,1,1,Gravel,12,09:06,10:06,01:00:00,3600,0,0,0.49,0,0,0,0.118077055,635.1445939,1
