ID,Station,Year,Source,Latitude,Longitude,Depth,Algae,Pebble,Gravel,Sand,Mud,Seagrass,Habitat
1,2018.SNH.1a,2018,SNH,55.53458333,-5.070783333,13,0.03,0.09,0.72,0.11,0,0,Gravel
2,2018.SNH.2a,2018,SNH,55.53608333,-5.07415,5,0.66,0.03,0,0.07,0,0,Algae
3,2018.SNH.3a,2018,SNH,55.53725,-5.075333333,7,0.4,0.04,0.41,0.05,0,0,Gravel
4,2018.SNH.3b,2018,SNH,55.53783333,-5.076816667,6,0.67,0.04,0.5,0,0,0,Algae
5,2018.SNH.4a,2018,SNH,55.53886667,-5.0771,10,0.12,0.25,0.29,0.21,0,0,Gravel
6,2018.SNH.4b,2018,SNH,55.53981667,-5.078183333,8,0.12,0.08,0.57,0,0,0,Gravel
7,2018.SNH.5a,2018,SNH,55.53925,-5.07965,7,0.23,0.16,0,0.5,0,0,Sand
8,2018.SNH.5b,2018,SNH,55.54025,-5.0793,8,0.13,0.14,0.13,0.58,0,0,Sand
9,2018.SNH.6a,2018,SNH,55.54078333,-5.079366667,11,0.22,0,0.05,0.68,0,0,Sand
10,2018.SNH.6b,2018,SNH,55.54191667,-5.078733333,8,0,0.08,0.21,0.59,0,0,Sand
11,2018.SNH.21a,2018,SNH,55.44305,-5.09395,13,0.21,0.03,0.25,0.36,0,0,Sand
12,2018.SNH.21b,2018,SNH,55.4424,-5.095083333,17,0.19,0.05,0.47,0.09,0,0,Gravel
13,2018.SNH.22a,2018,SNH,55.4416,-5.09675,13,0.11,0.07,0.57,0.11,0,0,Gravel
14,2018.SNH.22b,2018,SNH,55.44123333,-5.097683333,9,0.08,0.07,0.3,0.5,0,0,Sand
15,2018.SNH.23a,2018,SNH,55.43955,-5.1004,11,0,0.12,0.15,0.47,0,0,Sand
16,2018.SNH.23b,2018,SNH,55.43943333,-5.101566667,23,0.17,0.32,0.32,0,0,0,Pebble
17,2018.SNH.24a,2018,SNH,55.43773333,-5.10425,9,0.04,0.06,0.46,0.4,0,0,Gravel
18,2018.SNH.24b,2018,SNH,55.43803333,-5.104683333,13,0.05,0.04,0.3,0.41,0,0,Sand
19,2018.SNH.25a,2018,SNH,55.43373333,-5.103816667,22,0,0.42,0.22,0.08,0,0,Pebble
20,2018.SNH.25b,2018,SNH,55.43328333,-5.1056,8,0,0.27,0.52,0.04,0,0,Gravel
21,2018.SNH.26a,2018,SNH,55.43476667,-5.1066,10,0.12,0.04,0.27,0.38,0,0,Sand
22,2018.SNH.26b,2018,SNH,55.43495,-5.107633333,16,0.36,0.23,0.07,0.07,0,0,Algae
23,2018.SNH.27a,2018,SNH,55.43456667,-5.110333333,8,0.15,0,0.07,0.57,0,0,Sand
24,2018.SNH.27b,2018,SNH,55.43461667,-5.110233333,13,0.32,0.09,0.33,0,0,0,Algae
